NetLoad_thunder,SystemLoad_thunder,NetLoad_sunny,SystemLoad_sunny
401.27618197459,401.27618197459,401.27618197459,401.27618197459
396.350912254581,396.350912254581,396.350912254581,396.350912254581
386.764538297836,386.764538297836,386.764538297836,386.764538297836
377.921311493443,377.921311493443,377.921311493443,377.921311493443
369.725041622023,369.725041622023,369.725041622023,369.725041622023
362.027712177829,362.027712177829,362.027712177829,362.027712177829
354.675369628356,354.675369628356,354.675369628356,354.675369628356
347.506550088739,347.506550088739,347.506550088739,347.506550088739
340.346917482571,340.346917482571,340.346917482571,340.346917482571
333.057522101183,333.057522101183,333.057522101183,333.057522101183
325.723215523362,325.723215523362,325.723215523362,325.723215523362
318.694488112725,318.694488112725,318.694488112725,318.694488112725
312.491729553517,312.491729553517,312.491729553517,312.491729553517
307.56748865109,307.56748865109,307.56748865109,307.56748865109
304.099739787292,304.099739787292,304.099739787292,304.099739787292
301.987779183399,301.987779183399,301.987779183399,301.987779183399
300.871036068623,300.871036068623,300.871036068623,300.871036068623
300.391235494106,300.391235494106,300.391235494106,300.391235494106
300.644314311991,300.644314311991,300.644314311991,300.644314311991
302.285886182456,302.285886182456,302.285886182456,302.285886182456
306.297694961067,306.297694961067,306.297694961067,306.297694961067
313.283438789756,313.283438789756,313.283438789756,313.283438789756
322.593472520566,322.593472520566,322.593472520566,322.593472520566
332.421776857531,332.421776857531,332.421776857531,332.421776857531
340.196366812594,340.196366812594,340.196366812594,340.196366812594
343.684559521917,343.684559521917,343.684559521917,343.684559521917
342.403141565436,342.403141565436,342.403141565436,342.403141565436
338.002327125512,338.002327125512,338.002327125512,338.002327125512
334.238251899697,325.169362970652,334.238251899697,331.914395633442
335.270867416935,306.539277806068,335.270867416935,326.171824612738
343.050121119585,280.872634371627,343.050121119585,324.837877175742
356.40965801075,255.768421765366,356.40965801075,327.145647710684
371.355010009209,234.883753946841,371.355010009209,319.946961459317
383.649472755056,219.20127843196,383.649472755056,309.147610063743
391.029677528607,216.511495655539,391.029677528607,293.410088481047
393.621767849579,239.358146090045,393.621767849579,284.992669722108
393.4699956738,279.196225902597,393.4699956738,246.806072829658
392.782480183105,303.671158711658,392.782480183105,241.465421471792
392.896905798145,317.540977984086,392.896905798145,226.880916683632
394.145590198191,305.956422139368,394.145590198191,261.442629763991
396.03249163512,314.322225933361,396.03249163512,226.587781444498
397.957724778164,361.398013861722,397.957724778164,182.403438520954
399.60099083049,460.240461531407,399.60099083049,120.69789664401
400.945477865917,503.469978812927,400.945477865917,134.332077523276
402.125048525906,520.335941925085,402.125048525906,183.387811382898
403.170453422795,492.833723238788,403.170453422795,238.911837380019
403.923479754605,518.717250517601,403.923479754605,246.873367562511
404.135037336752,475.142879854353,404.135037336752,261.112272865142
403.572022156795,445.903705928893,403.572022156795,223.815789307254
402.162895370751,367.615991893182,402.162895370751,157.450605788244
400.276434772572,321.658738048345,400.276434772572,131.02534473232
398.645304882598,287.590970887635,398.645304882598,151.957072831509
397.992203673467,291.790040802246,397.992203673467,203.516692098136
398.64708957836,273.322342213168,398.64708957836,148.261062482839
400.423428369001,274.147655877436,400.423428369001,148.114520896472
402.834835882835,292.681009436394,402.834835882835,154.35800673529
405.045641144879,334.848838503922,405.045641144879,173.442790296403
406.111464649786,377.782726515582,406.111464649786,121.158211922845
405.64078890961,422.691744108777,405.64078890961,104.352834918143
404.062306458581,477.689886535651,404.062306458581,196.749319077596
402.3890118387,474.083705746441,402.3890118387,242.978950704513
401.495693929422,469.91409538761,401.495693929422,288.452892386312
401.613893181914,498.964848661257,401.613893181914,282.251848544273
402.37523380548,543.199060192507,402.37523380548,309.61615706505
402.992684652279,557.253011006715,402.992684652279,270.231084509664
402.740474310207,534.656732504522,402.740474310207,212.142144320885
401.357600126277,499.882974943384,401.357600126277,213.358984446744
399.093279711971,473.795942892808,399.093279711971,271.350758656061
396.684594260256,445.348989803246,396.684594260256,304.417605260649
395.051925615478,422.923602172588,395.051925615478,319.464524539244
395.121490306921,407.886765324307,395.121490306921,328.148470094153
397.705067471939,403.228544852369,397.705067471939,358.901889032297
403.350796148185,406.554097101939,403.350796148185,379.12688426497
412.191607413503,413.358961345267,412.191607413503,393.148329045195
423.438951904428,422.384222238864,423.438951904428,411.644574318839
435.452985003782,435.172471645569,435.452985003782,430.529663169457
446.141892421648,446.136752617516,446.141892421648,444.438721500981
453.798328358369,453.798328358369,453.798328358369,453.790956252527
457.943708585346,457.943708585346,457.943708585346,457.943708585346
459.29731393609,459.29731393609,459.29731393609,459.29731393609
459.357323985389,459.357323985389,459.357323985389,459.357323985389
459.463475678413,459.463475678413,459.463475678413,459.463475678413
460.176320181258,460.176320181258,460.176320181258,460.176320181258
461.276771505249,461.276771505249,461.276771505249,461.276771505249
461.821749469658,461.821749469658,461.821749469658,461.821749469658
460.768515130235,460.768515130235,460.768515130235,460.768515130235
457.770142363471,457.770142363471,457.770142363471,457.770142363471
453.39056489836,453.39056489836,453.39056489836,453.39056489836
448.780828989365,448.780828989365,448.780828989365,448.780828989365
444.874600595399,444.874600595399,444.874600595399,444.874600595399
441.867279593101,441.867279593101,441.867279593101,441.867279593101
439.303373592437,439.303373592437,439.303373592437,439.303373592437
436.228393366926,436.228393366926,436.228393366926,436.228393366926
431.687589032356,431.687589032356,431.687589032356,431.687589032356
425.168482728495,425.168482728495,425.168482728495,425.168482728495
421.521154921965,421.521154921965,421.521154921965,421.521154921965
