UncontrolledCharging_sun,UncontrolledCharging_thun
16.1249044331904,18.7181986746158
27.0297052541682,33.066420535418
46.6280774285092,49.1153225888544
82.3256702387961,100.501809041177
110.448854264775,110.448854264775
96.88036120662,105.061017397239
65.1237496673676,148.839499923139
61.6771636500952,101.596135116847
168.792522900087,168.792522900087
138.788284089293,158.058297573661
177.056331497182,203.484680272778
195.766307726944,195.766307726944
51.1620245445531,198.224676191806
128.169247605538,208.906288436362
147.710445544848,222.928415928451
245.893220797016,245.893220797016
76.7889013597786,209.55621923414
246.10561877549,246.10561877549
93.1816662768516,200.060510095549
209.971794201289,253.897378425376
245.796340346634,253.925325113516
60.377568331895,185.895976591024
287.934473878483,287.934473878483
290.576069383511,290.576069383511
143.794891698158,250.001185651308
285.653516344749,332.083693202993
243.624659393369,275.516492110518
364.32924720776,364.32924720776
202.975901582584,315.519511454963
265.715258588415,310.974324026105
318.779061761191,332.94129272477
293.338394821408,334.32576940231
127.659290080114,288.968853598334
371.515867053463,371.515867053463
283.405023697186,324.506581581969
372.064407687332,372.064407687332
328.14083788313,373.567596155569
137.12703377524,242.685204354824
430.285737961571,430.285737961571
137.501285611416,258.8161151138
488.933418977645,488.933418977645
455.522887692297,455.522887692297
444.953201167835,444.953201167835
465.148245547733,465.148245547733
260.207626860081,280.519654868277
366.477166555699,426.80049156141
460.058247271621,460.058247271621
477.204144128519,484.833393524695
484.960296370717,484.960296370717
109.185163875461,359.112784352999
467.970544245769,475.542479692404
521.450514177906,521.450514177906
534.05578129793,534.05578129793
540.90522128414,540.90522128414
522.521500989529,526.538262380246
532.926421992936,570.363769103526
448.103792574209,517.980928001014
494.878944262075,524.984546409302
528.379880484344,543.359532967788
548.510671193279,575.83649082949
642.776168672737,642.776168672737
596.170604087875,598.842736384596
600.402097194748,602.537730305449
432.481752003541,583.775634513432
579.502919179633,662.456762335472
645.701112875157,712.327522645804
847.145827606346,847.145827606346
561.743466493276,649.912089052987
445.802782610618,729.809255094143
587.637792524865,666.629430952925
874.264756619215,874.264756619215
928.90505515065,928.90505515065
923.784685904902,923.784685904902
948.363310130679,948.363310130679
952.519939335159,952.519939335159
970.67606294771,970.67606294771
988.619052310259,988.619052310259
962.887898693227,962.887898693227
1006.61729991161,1006.61729991161
1008.62416755804,1086.27080723117
1248.79153756833,1248.79153756833
1772.2695121947,1780.5557425337
2852.27161510589,2852.27161510589
2891.61321424264,2891.61321424264
3259.44551787296,3259.44551787296
