SystemLoad,NetLoad,OnlyV2G,V1G,V2G,UncontrolledCharging
406.464489453344,406.464489453344,467.071624656615,456.114645945326,400.679217663074,451.542147338289
396.087874495835,396.087874495835,467.69645522663,456.107768275712,400.654039442153,438.84308363068
386.500372814564,386.500372814564,468.874173061651,459.513118444346,399.972300499136,428.134159533109
377.70536758311,377.70536758311,469.907009301708,443.986160429908,402.869788180753,417.729474591422
369.558194082654,369.558194082654,475.468741903696,439.459290732738,408.504898576561,410.86587120015
361.911563200304,361.911563200304,475.187502301772,445.049064774344,408.983975998333,403.72524478687
354.613379250527,354.613379250527,474.329118988299,431.565414800285,407.65438988059,396.291125327642
347.501166434235,347.501166434235,472.961258463307,427.060050343681,406.596896839889,389.559050732074
340.405104581455,340.405104581455,474.606836095254,428.290668989336,408.352315511411,380.522237606163
333.134481432021,333.134481432021,474.721720207719,426.148364397844,408.969570229614,373.829888629831
325.632980290072,325.632980290072,472.433858390565,413.191582357137,405.32821070025,366.271135388183
318.402184847993,318.402184847993,468.972881666712,413.778418626931,401.785922383559,360.287890324537
312.048299200111,312.048299200111,466.961583867862,413.845200048541,400.309823467594,354.459353394576
307.024704612448,307.024704612448,468.157487129683,408.268392356437,400.289750508143,349.85316666761
303.629462140711,303.629462140711,466.902029348541,406.77966163889,400.195477369611,346.649232961357
301.645052608716,301.645052608716,468.379404522922,400.894746515112,398.919184067706,343.860266832198
300.688822800771,300.688822800771,468.374928084591,399.006917181177,400.841908015686,342.387685842697
300.279232796381,300.279232796381,467.76197290518,396.914481882221,402.538734420094,341.11234513344
300.205650885166,300.205650885166,468.417439853287,404.320740000627,401.022366163426,340.513390226202
301.448059254427,301.448059254427,463.798499910276,401.348325380687,396.510799014912,341.354855230171
305.203948407776,305.203948407776,459.469293696319,403.329690519195,391.717180285236,342.425777189906
312.241077221,312.241077221,458.850271201742,399.585667042758,391.981960415484,348.976201011721
322.405290740491,322.405290740491,461.808537008799,404.312966047077,397.830580555821,358.335542338965
333.134049600206,333.134049600206,466.547571737842,404.939608711466,404.392611831488,367.880749244439
341.725990231895,341.725990231895,465.244268490479,403.892290303767,406.741540379146,378.182489125814
345.729060605682,345.729060605682,459.211829574361,396.02777149572,403.540386236147,381.314936488406
343.598627728175,343.598627728175,457.221309531303,390.271629384122,401.056958521078,380.404562597093
