SystemLoad,NetLoad,OnlyV2G,V1G,V2G,UncontrolledCharging
406.464489453344,406.464489453344,484.942121892126,406.464489453344,399.375670758273,451.542147338289
396.087874495835,396.087874495835,488.657317709826,396.087874495835,418.531056501672,438.84308363068
386.500372814564,386.500372814564,497.048096642704,386.500372814564,400.734720348551,428.134159533109
377.70536758311,377.70536758311,498.107130967573,377.70536758311,395.774551135255,417.729474591422
369.558194082654,369.558194082654,507.755512308401,369.558194082654,419.510388524737,410.86587120015
361.911563200304,361.911563200304,504.25356230363,361.911563200304,410.404032161202,403.72524478687
354.613379250527,354.613379250527,504.316682499964,354.786460053093,426.771909124367,396.291125327642
347.501166434235,347.501166434235,505.199634969043,350.311999668621,404.75145309039,389.559050732074
340.405104581455,340.405104581455,507.977959072278,348.475392326667,399.92606318086,380.522237606163
333.134481432021,333.134481432021,503.190174225428,345.022993563691,396.317746861133,373.829888629831
325.632980290072,325.632980290072,494.056606674044,342.697261083686,372.493637686804,366.271135388183
318.402184847993,318.402184847993,477.593966004077,340.315416935659,382.811505449767,360.287890324537
312.048299200111,312.048299200111,477.81714477662,339.162644239732,392.709950689471,354.459353394576
307.024704612448,307.024704612448,468.743786037665,336.237921499051,377.866073126392,349.85316666761
303.629462140711,303.629462140711,461.391922643416,330.438109910699,367.815209210901,346.649232961357
301.645052608716,301.645052608716,463.281529421598,327.118708546154,360.399267592068,343.860266832198
300.688822800771,300.688822800771,466.934661012388,326.184376247768,350.511294430965,342.387685842697
300.279232796381,300.279232796381,476.177365122602,327.02134523341,352.336455454792,341.11234513344
300.205650885166,300.205650885166,466.940290370583,326.619660634642,364.307011571409,340.513390226202
301.448059254427,301.448059254427,473.059555848426,330.769257044585,382.178850527734,341.354855230171
305.203948407776,305.203948407776,469.805720691865,326.982743028879,369.85346323828,342.425777189906
312.241077221,312.241077221,458.689455835969,324.951484699374,352.84128225169,348.976201011721
322.405290740491,322.405290740491,484.710610521921,325.029504355021,354.943945881653,358.335542338965
333.134049600206,333.134049600206,471.562855325766,333.134049600206,372.431501323093,367.880749244439
341.725990231895,341.725990231895,464.203712153385,341.725990231895,365.800957217872,378.182489125814
345.729060605682,345.729060605682,456.509614825886,345.729060605682,355.363862481532,381.314936488406
343.598627728175,343.598627728175,433.262817235628,343.598627728175,349.060339450584,380.404562597093
337.881736362451,337.881736362451,425.716057213102,337.881736362451,316.603555808437,375.228462010936
332.526617285911,332.526617285911,422.40835221245,332.526617285911,317.873992667014,370.952859633846
332.306402050729,306.851472360552,388.947457254744,306.851472360552,313.359627115466,346.000380899388
340.979582914164,285.789507559754,379.840831961363,285.789507559754,312.082123839636,325.210947073025
355.864378393864,261.987061479895,378.265919077763,261.987061479895,259.150585821593,302.580840746704
372.385012724221,238.96845215093,368.435444169044,238.96845215093,255.197610415469,280.057251799155
385.815638909542,230.056393243878,359.800300370487,230.056393243878,243.705552776484,273.723467640738
392.747766631407,220.343631058045,354.474163752701,220.343631058045,198.378386826589,264.759310626621
394.525627044873,232.844212080819,346.167259191614,232.844212080819,236.418412649803,277.605166464336
393.591909872456,294.68399490776,341.510076416154,294.68399490776,318.682240431325,340.02584937468
392.29245010407,332.133472526124,349.238119806106,338.48938078376,358.396669563704,379.886195664786
392.463080572788,301.408658321329,326.93005863077,301.408658321329,316.635801776996,349.555757819916
393.935186717576,333.636475278145,330.800937165383,333.636475278145,371.14073998317,379.995692259523
396.038503304209,299.858660250516,328.264802377172,299.858660250516,306.151990355739,346.225220607565
398.123784883574,325.254611702746,346.304865672897,336.723684278456,386.613782398801,371.879440348254
399.71088614671,466.142605140915,343.7801304353,469.97775320922,528.711137158282,511.928953002149
400.968301461187,577.611111035694,321.275800393724,628.082838178168,676.955791399973,623.308760534638
402.157245989852,446.852694928345,335.91880230356,446.852694928345,469.4751515772,491.491992283789
403.249598126679,513.710527323648,341.668316830378,566.732519790905,604.924837873446,558.573902910471
404.104516151852,500.61868407939,345.319017064501,572.483389540236,631.438798372119,544.728047268789
404.416324985285,519.649095495344,357.76568983692,603.558010366649,674.137008557796,563.960043466578
403.884270873118,391.445059421545,346.688478497344,462.983665940302,523.132422642087,432.779622900878
402.415470611981,418.440219123066,372.825587563863,568.045102043012,653.250476520716,460.387285371577
400.188944627155,299.63574086501,357.826560510755,456.168118264283,535.835612180008,341.910477346081
398.224889078581,262.085966200271,378.629146650484,457.433346853382,559.369871939751,306.326899303872
397.522080942059,322.502344558423,344.253326599125,550.688863606001,640.39999136469,367.21087854251
398.229640999762,311.295710311299,374.822304753288,552.736059088258,620.279298472447,356.325188910849
400.189546793257,210.376568846357,374.501556522419,456.978351114591,513.057122450196,255.438832490714
402.851097313982,325.161984569601,392.248186431668,547.913137409563,636.503468384416,369.8870429122
405.463863541265,363.781672758132,366.884845013845,589.704394662805,681.522965927945,411.462657014925
406.82196257939,329.161999136815,353.901195580341,513.60854068686,609.3564601214,377.371439982065
406.048567828703,445.876457070075,364.606380005763,595.733274827795,699.369105265618,495.222984627345
404.051836320738,489.743231453203,403.789681532453,620.374111235205,681.20997029359,540.158604167835
402.086515226302,483.228144750881,376.768664145437,593.926616785137,674.611978189731,533.042944603326
401.028683969061,435.431268972577,363.174839507291,501.782436993211,572.090237733284,486.825222496845
401.371882592904,477.867245598356,358.67416988393,495.786360561945,541.477833951827,528.668706844424
402.441112983777,564.79182270858,381.420822268358,564.79182270858,602.227204641404,617.646445906807
403.312705839759,559.736729306493,373.73006382933,559.736729306493,539.189808444795,612.466941631983
403.224235133301,517.433717765583,384.308068948593,517.433717765583,459.833747301838,571.286329728467
401.68448195756,501.318944029711,368.713310233275,501.318944029711,440.442313626457,555.821182292596
399.16408328797,461.865204720084,376.450928739732,461.865204720084,384.544343478197,516.560162073655
396.431273890381,443.774191668346,376.560452750395,443.774191668346,374.363111807272,496.956097986662
394.458425602415,421.007609294692,389.848817788289,421.007609294692,352.663277733916,475.802994166385
394.266077353636,398.605341672468,383.617312023425,398.605341672468,332.578538891457,457.7893286474
396.63996796471,401.581617839424,404.961144111167,401.581617839424,315.8235323336,462.574406004489
402.209157097472,408.431765933503,404.57082324274,408.431765933503,307.197095826701,471.965470596067
411.203263382374,409.030161272205,423.531952020759,409.030161272205,311.195960404843,477.36287531145
423.162401760664,422.389471966009,422.120289717585,422.389471966009,322.221965041058,493.546648038682
435.951190570246,435.93676395704,436.111081516843,435.93676395704,325.717313068103,512.61404454414
447.245362680437,447.245362680437,455.055927902177,447.245362680437,337.831902815108,529.146962700142
455.229124014259,455.229124014259,465.610685620116,455.229124014259,356.958292115901,540.937755462291
458.92049838041,458.92049838041,443.830615677345,458.92049838041,341.697309916277,546.169803336604
459.681503361369,459.681503361369,452.564170071536,459.681503361369,334.906378725919,551.86352355894
459.289940066491,459.289940066491,435.238427300601,459.289940066491,342.204384052851,555.560211055055
459.100528528306,459.100528528306,444.706619262762,459.100528528306,346.285027608574,559.458878602548
459.999958440442,459.999958440442,430.889016117917,459.999958440442,345.761864768287,558.022532131763
461.428473575027,461.428473575027,436.161469947406,461.428473575027,367.848266700208,561.743466493276
462.401882500278,462.401882500278,446.144650403483,462.401882500278,378.409454926879,560.766310100035
461.634892333669,461.634892333669,460.552430412096,461.634892333669,356.365348282958,559.130029832441
