NetLoad,UncontrolledCharging,V1G,V2G,SystemLoad,OnlyV2G,NetLoad_weekend,UncontrolledCharging_weekend,V1G_weekend,V2G_weekend,SystemLoad_weekend,OnlyV2G_weekend
18.4821898568368,18.6712227202336,18.4951336327843,20.2329802830344,17.853821957298,17.4017463923697,17.7077807623015,18.5613120697124,18.0356641334047,18.7869003112938,17.853821957298,17.6497203299569
32.6293313656297,33.0539598771917,32.0038276375266,31.0440609375488,32.4616096668824,29.0213068121338,30.624644224666,31.5775285309181,29.9242349021727,29.7852840364203,32.4616096668824,28.9552534686379
47.9201773209989,46.4853551264471,35.8249016713094,32.308029470644,31.0797918880966,38.8556974733163,47.6553638330739,47.6293716784706,31.4064917523355,27.1232639654801,31.0797918880966,37.6110066710555
99.1918649152394,100.399108902625,96.780686895405,95.7339851522967,97.81484386724,85.0936598693389,93.4659198545138,96.8834447955627,90.6415498157351,90.4189336258984,97.81484386724,85.2367283475563
91.7790671817262,110.448854264775,98.0741901158959,84.0254001868293,91.2928940649869,101.304390050232,91.5359806233566,108.471693455797,100.736367876866,81.6704827532174,91.2928940649869,107.985734102001
102.587263091504,105.061017397239,102.587263091504,100.969847947454,105.150157967213,105.119112831113,100.262230610459,101.933742119025,100.481337893485,95.5798656298952,105.150157967213,98.8559192688542
135.418719625356,137.959954890334,81.7588310764495,71.2155401732061,25.6412444896202,14.8622226221364,99.4486254539121,97.3057818783396,94.5409075797755,75.0767926904231,25.6412444896202,20.0646663779278
89.5907389244207,93.1031302558051,61.5092879163833,63.8895893525629,35.9278664017781,8.95803926253066,79.8679385809064,78.7164150406883,100.507887803194,89.995830575785,35.9278664017781,19.3896445024362
144.022430693336,168.792522900087,147.197498358088,128.005710785464,137.044883289308,152.415230644741,140.533656991322,165.937503634187,148.948261623319,113.696637547652,137.044883289308,159.227651002851
149.873683958272,158.137003294199,148.026899965331,143.940677829068,151.058291002709,134.629559364091,141.383331755054,149.598901484475,142.061579089269,138.360002610667,151.058291002709,134.518040330143
189.696705690558,200.721422326806,184.658517303048,166.548128420523,157.871610496168,162.601923574638,170.335364953197,186.706712566465,174.53113473568,146.87013901305,157.871610496168,163.743391536472
179.463140330873,195.766307726944,192.445259984469,185.152158571754,171.456905753887,172.190514163447,175.459733977477,195.398121210257,180.124823674147,176.196446491511,171.456905753887,173.343771191348
183.795632726375,185.667370325442,103.749478824384,57.2349416654912,39.2473114787384,14.6536768803214,83.3290319486433,80.3368550253884,75.1903411625366,57.6038405734663,39.2473114787384,16.0618638201888
195.382879833966,203.499998440988,186.069263124484,156.251237718019,116.822728338689,117.201867432833,155.420277822844,168.312193006921,146.374735590194,127.674831423877,116.822728338689,124.471399481504
210.825255829589,218.227647275499,188.438981486174,157.163647907041,150.077370285051,141.122186327407,174.175492312545,177.55226577179,173.074833076898,154.950135302512,150.077370285051,141.276734124348
208.867449803713,245.893220797016,222.254992673059,199.764476671984,208.867449803713,225.277098020765,208.867449803713,242.449393612148,218.825031054144,184.018470418003,208.867449803713,231.70134214897
206.23599548353,198.127571679433,130.88938992508,126.244626709008,55.5460226232541,40.914200351689,178.279712808249,167.226243107577,134.61857345179,137.68555008119,55.5460226232541,42.122474117877
215.862483803417,246.10561877549,222.859352393333,203.277932321447,212.977891349385,215.504973410533,214.420187576401,242.555728257998,223.425266223553,205.714722267873,212.977891349385,218.746936796953
179.638056283825,191.381044100739,157.677446600232,117.878132723751,69.4708813811694,68.0081689728906,157.630911485616,163.823395845887,122.703851722798,99.9304889019572,69.4708813811694,68.0639897827234
231.065095025844,247.306472281273,197.460439580831,176.299385178588,169.444766666177,174.457198666509,200.25493084601,223.432721892946,205.542425242159,161.888664574047,169.444766666177,182.72551469428
230.213941999509,250.329255962136,224.281158863894,199.079817275152,197.459716956867,211.51234144635,213.836829478188,241.130708616367,223.397794033347,158.087372870054,197.459716956867,218.455494123543
182.141411206495,174.826687707195,128.10577153373,122.273234430246,21.9918138031076,18.7502906426203,144.726701840371,144.844431671631,98.4810191181167,82.897117714596,21.9918138031076,22.1972537025775
253.407843420517,287.934473878483,258.159513346149,227.201677384082,249.804377179486,257.666499828523,250.844186133116,283.089001789257,261.332372259002,218.264719819283,249.804377179486,260.766736256369
256.299450894572,290.576069383511,263.284434345952,244.147116643641,252.27403956017,260.556612499525,255.035674340814,286.822747320466,261.252053247366,218.249521969743,252.27403956017,258.147459132358
224.730654023276,241.409414984951,203.59817970491,163.798865828429,107.458201942754,113.928902077568,166.891863181506,189.336531622668,163.293269436518,145.851222006635,107.458201942754,113.984722887401
318.891421292424,332.185848023239,314.697851821515,305.816491179092,320.477138047662,283.002502885404,301.270120382045,316.417095473155,299.153452131574,294.224897267202,320.477138047662,282.853903560786
240.913306686541,267.950698770669,249.775962449103,224.455569561463,173.257457107345,208.762008900692,217.36066788674,253.442652179577,230.55041188159,206.837265683548,173.257457107345,202.760295560029
322.866841363242,364.32924720776,333.066472915155,298.842001905161,308.865389542206,340.377208018009,310.574450107396,359.99899075326,328.135969755822,274.324089774852,308.865389542206,340.998369785254
299.781646852858,308.564454643914,270.948030602962,269.278288894695,200.01224800176,162.240996766648,270.157142416989,284.749020316668,250.761152490088,246.674951770489,200.01224800176,184.46716502614
298.218856084634,308.59471430185,279.737633233266,267.545979790719,263.669776158702,245.1453722862,274.083321937638,289.612747499128,264.303263173043,254.618628812347,263.669776158702,247.438633857266
295.144422414483,331.333441400672,303.673254983534,271.521410227915,273.458284557745,272.330700144585,285.861270485454,322.04892358856,288.453821192847,242.421118475595,273.458284557745,272.327508323964
