t_years,p10,p90,median
0,1,1,1
0.0246575342465753,0.999353187995946,0.999639373908845,0.999543011532076
0.0493150684931507,0.998893703827008,0.999383174216055,0.999218387342264
0.073972602739726,0.998502230869682,0.999164888192859,0.998941818829049
0.0986301369863014,0.99814341687905,0.998964562389442,0.998688507463735
0.123287671232877,0.997787451569008,0.998766099599708,0.998437006734552
0.147945205479452,0.997455460912743,0.99858099733043,0.998202449389789
0.172602739726027,0.997147814306252,0.998409223739807,0.997985271276006
0.197260273972603,0.996838342964698,0.998236683164215,0.997766619825581
0.221917808219178,0.996528584800441,0.998063987018784,0.997547762532192
0.246575342465753,0.996215393459871,0.997889388682047,0.997326470825461
0.271232876712329,0.995909023380747,0.997718327912677,0.99711019380076
0.295890410958904,0.995592598363946,0.99754191718332,0.996886624390678
0.320547945205479,0.995277914200813,0.997366474567839,0.996664286766207
0.345205479452055,0.994966547821036,0.997192634276413,0.996444475223378
0.36986301369863,0.99466139976307,0.997022511355342,0.996228872958652
0.394520547945205,0.994368999295387,0.996859487494406,0.996022283266415
0.419178082191781,0.994077351392582,0.996696889811442,0.995816220433843
0.443835616438356,0.993788952330511,0.996535846151414,0.995612642225954
0.468493150684932,0.993503447421197,0.996376669686551,0.995410922340071
0.493150684931507,0.993228819231596,0.996223571893662,0.995216876515587
0.517808219178082,0.992960524941913,0.996073782360363,0.995027469851298
0.542465753424658,0.992696966275794,0.995926848879941,0.994841250380107
0.567123287671233,0.99243158801757,0.99577889058168,0.994653752908262
0.591780821917808,0.992168862688643,0.995632416251529,0.994468126233959
0.616438356164384,0.991909724965403,0.995487721367657,0.994285196656104
0.641095890410959,0.991659224140989,0.99534806767048,0.99410820326266
0.665753424657534,0.991407092069357,0.995207506858929,0.993930055605125
0.69041095890411,0.991161964365424,0.995070637806198,0.993757013688851
0.715068493150685,0.990914466605063,0.994932653103778,0.993582145963851
0.73972602739726,0.990672469652075,0.994797734978822,0.993411164961013
0.764383561643836,0.99042566484446,0.994660145831687,0.993236780056249
0.789041095890411,0.99017681589422,0.994521199542288,0.993061110811392
0.813698630136986,0.989937454284952,0.994387762472391,0.992891983113497
0.838356164383562,0.989701211909384,0.99425606047621,0.992725062198106
0.863013698630137,0.989466044205702,0.994124753825203,0.992559050452064
0.887671232876712,0.989232458822597,0.993994527189534,0.992394011200129
0.912328767123288,0.989004303782771,0.993867332565702,0.992232805414017
0.936986301369863,0.988779095998254,0.993741777796417,0.992073684413472
0.961643835616438,0.988548380358027,0.993612952184402,0.991910819027664
0.986301369863014,0.988322563487846,0.993487067101226,0.991751260870507
1.01095890410959,0.988100502009358,0.993363252388988,0.991594373214445
1.03561643835616,0.987885267235676,0.993243263636238,0.991442294252352
1.06027397260274,0.987670760340193,0.993123484831157,0.991290873591545
1.08493150684932,0.987474625531539,0.993014147438806,0.991152287534597
1.10958904109589,0.9872669261259,0.992898363599343,0.991005529835274
1.13424657534247,0.987058809498668,0.992782151247783,0.990858621408526
1.15890410958904,0.986854912948541,0.992668481826295,0.990714554814212
1.18356164383562,0.986662220664097,0.992561060418952,0.990578403465035
1.20821917808219,0.98646004579706,0.992448341929999,0.990435559886265
1.23287671232877,0.986245720280831,0.992328684097457,0.990284252780899
1.25753424657534,0.986032620984839,0.992209881228513,0.990133686070295
1.28219178082192,0.985815222201963,0.992088687230887,0.98998007723785
1.30684931506849,0.985589918521205,0.991962884358603,0.98982103161038
1.33150684931507,0.98536235751156,0.991836022771975,0.98966024416842
1.35616438356164,0.985137852976456,0.991710864782114,0.989501616584013
1.38082191780822,0.984912596571974,0.991585282016637,0.989342461885525
1.40547945205479,0.98469148060879,0.991461815524291,0.989186373847363
1.43013698630137,0.984473218954957,0.991340122125793,0.989032168841555
1.45479452054795,0.984254282305087,0.991218062970642,0.988877479152241
1.47945205479452,0.984032544796567,0.991094264915469,0.988720940964689
1.5041095890411,0.983821656901337,0.990976704367903,0.988571929773461
1.52876712328767,0.98361485783913,0.990861412321668,0.988425815680167
1.55342465753425,0.983405362137439,0.990744620092816,0.98827779390979
1.57808219178082,0.983190416007313,0.990624601764925,0.988126058970478
1.6027397260274,0.982983181178285,0.990509061525333,0.987979640846276
1.62739726027397,0.982777773359959,0.990394545901403,0.987834509154457
1.65205479452055,0.982573593502045,0.990280545761187,0.987690369437249
1.67671232876712,0.982371003078248,0.990167601531734,0.987547227881584
1.7013698630137,0.982171285806301,0.990056259207737,0.987406116279756
1.72602739726027,0.981968351757311,0.989943119269358,0.987262734976289
1.75068493150685,0.981766562123849,0.989830449938555,0.987120285368009
1.77534246575342,0.98155975387872,0.989715147242911,0.986974168852854
1.8,0.98135400450757,0.98960044680639,0.986828791714359
1.82465753424658,0.981157819250771,0.989490910723441,0.986690295438707
1.84931506849315,0.980958832336135,0.989379976630915,0.98654969909817
1.87397260273973,0.980761607317225,0.989270022531495,0.98641034930142
1.8986301369863,0.980566412284507,0.989161197165996,0.986272435998718
1.92328767123288,0.980374086097582,0.989053812611366,0.986136666303188
1.94794520547945,0.980180760008139,0.988946030724135,0.986000072380492
1.97260273972603,0.979984747914683,0.988836748731881,0.985861582598297
1.9972602739726,0.979788458097173,0.988727151751443,0.985723014360113
2.02191780821918,0.979605596428316,0.988625208892448,0.98559381038267
2.04657534246575,0.979419694091612,0.988521564155362,0.985462462932338
2.07123287671233,0.979242624969342,0.988422839199087,0.985337360130989
2.0958904109589,0.979069076234091,0.988325950892568,0.985214837311763
2.12054794520548,0.978887245415181,0.988224575884266,0.985086366723991
