t_years,p10,p90,median
0,1,1,1
0.0246575342465753,0.999808104279416,0.999982968779803,0.999922134568829
0.0493150684931507,0.999673956040945,0.999972294587004,0.999869157023019
0.073972602739726,0.999555140884437,0.999959064754271,0.999818528786833
0.0986301369863014,0.999463429797439,0.999947529175316,0.999777722426755
0.123287671232877,0.999344485342236,0.999938944947554,0.999737220061649
0.147945205479452,0.999257162345979,0.999929580848693,0.99969385913685
0.172602739726027,0.999177080578457,0.999919092195977,0.999657308449775
0.197260273972603,0.999088410207436,0.9999112221339,0.999622620190508
0.221917808219178,0.998990248589637,0.999904016092692,0.999584196518456
0.246575342465753,0.998905295056372,0.999894197508059,0.999543401531933
0.271232876712329,0.998826142488543,0.999884305265383,0.999509974611421
0.295890410958904,0.99871522617228,0.999876708773575,0.999471965799497
0.320547945205479,0.998636825712464,0.999867964124719,0.999432500134256
0.345205479452055,0.998555984405004,0.999857436399503,0.999394948152606
0.36986301369863,0.99846924429566,0.999849756380717,0.999361843825758
0.394520547945205,0.998377470648456,0.99984267115126,0.999323970606421
0.419178082191781,0.998299361355404,0.999833730714452,0.999286550923574
0.443835616438356,0.998225001199829,0.999824255792675,0.999255339475723
0.468493150684932,0.998124623586059,0.999817378472764,0.999219923307894
0.493150684931507,0.998056811872646,0.999809716942287,0.999187293455142
0.517808219178082,0.997986405113363,0.999800746374581,0.999154006931641
0.542465753424658,0.997910425366983,0.999794192904932,0.999126128107346
0.567123287671233,0.997826394787293,0.999787842281538,0.999091328003533
0.591780821917808,0.997756979525724,0.999779703168574,0.999057334900323
0.616438356164384,0.997689262072797,0.999771309984553,0.99902977376604
0.641095890410959,0.997601730967812,0.999765329630244,0.998998553665054
0.665753424657534,0.997539137800327,0.999758321514541,0.998968154838132
0.69041095890411,0.997475742112099,0.99974993074995,0.998938413631913
0.715068493150685,0.997403538437549,0.999743754704965,0.998912093276525
0.73972602739726,0.997325567473637,0.999737990988893,0.998879975460218
0.764383561643836,0.997260017598613,0.999730394909539,0.998848203007202
0.789041095890411,0.99719500153367,0.999722359033619,0.998821850605158
0.813698630136986,0.997110808159586,0.999716707296875,0.998792082743686
0.838356164383562,0.997051976326999,0.999710147154852,0.998763028918389
0.863013698630137,0.996991736033422,0.999702100356153,0.998734990557042
0.887671232876712,0.9969230260292,0.999696300105278,0.998710396803648
0.912328767123288,0.996849431822011,0.999690927221811,0.998679878682524
0.936986301369863,0.996789139230788,0.999683966675071,0.998651006170271
0.961643835616438,0.99672918330345,0.999676483647612,0.998626632837759
0.986301369863014,0.996649766081738,0.999671190711789,0.998598482488882
1.01095890410959,0.996592598536203,0.999665466928401,0.998572649917794
1.03561643835616,0.996534177828535,0.999658902638028,0.998545479556801
1.06027397260274,0.996478585828338,0.999651920511624,0.998522947437923
1.08493150684932,0.996409153843252,0.999647317291929,0.998498056870054
1.10958904109589,0.996357851793422,0.999641569820328,0.998472726831879
1.13424657534247,0.996303736005103,0.999634426482123,0.99844823140552
1.15890410958904,0.996243938025167,0.999629392805768,0.998426044084416
1.18356164383562,0.996181587474478,0.999624866915544,0.998400292541743
1.20821917808219,0.996128303871144,0.99961853854619,0.998374981966501
1.23287671232877,0.996072302451645,0.999611671835297,0.99835202090942
1.25753424657534,0.995997039860261,0.999606597586503,0.99832488662751
1.28219178082192,0.995942976207279,0.999600603277304,0.998298508962773
1.30684931506849,0.995884607120892,0.999592917746672,0.998271827257776
1.33150684931507,0.995817917384466,0.999587288711578,0.998247066115365
1.35616438356164,0.995747034200823,0.99958196202371,0.998217291540055
1.38082191780822,0.995687889386561,0.999574970655399,0.998188774861842
1.40547945205479,0.995630790540116,0.999567739538696,0.998165148904843
1.43013698630137,0.995554299663946,0.999562503735463,0.99813802331177
1.45479452054795,0.995500235621413,0.999556371284509,0.998111127837213
1.47945205479452,0.995442504791298,0.999548864474563,0.998084623714144
1.5041095890411,0.995380636709176,0.999543663077738,0.998062141502322
1.52876712328767,0.995314513864469,0.999538786164822,0.998034787534931
1.55342465753425,0.995258365714056,0.999532405325241,0.998008137760722
1.57808219178082,0.995203017169503,0.999525382093182,0.99798495619942
1.6027397260274,0.995130431083487,0.999520446103293,0.997959281304987
1.62739726027397,0.995079955732871,0.999514709595807,0.997933992880545
1.65205479452055,0.995027495308786,0.999507745461351,0.997909631267842
1.67671232876712,0.994967953147221,0.999502705641984,0.997888204287035
1.7013698630137,0.994903990728094,0.99949796580022,0.997861597604148
1.72602739726027,0.994849364577583,0.999491741725311,0.997835792420083
1.75068493150685,0.99479665238576,0.999485195197505,0.997814189263853
1.77534246575342,0.994724661583511,0.999480194425562,0.997788571806825
1.8,0.994673343671794,0.999474521703109,0.997763296334764
1.82465753424658,0.994622729558376,0.999467818044713,0.99773985197307
1.84931506849315,0.994564353531512,0.999462881027881,0.99771875098495
1.87397260273973,0.994501493503417,0.999458180375545,0.997692714929975
1.8986301369863,0.994448947963046,0.999452195289542,0.99766779871179
1.92328767123288,0.994398617187627,0.999445988492931,0.99764718978869
1.94794520547945,0.994330628490132,0.999441361364982,0.997623120586947
1.97260273972603,0.994282363658073,0.99943588830697,0.997599219795269
1.9972602739726,0.994231828660896,0.99942918647678,0.997575888644114
2.02191780821918,0.994179621946838,0.999424449416292,0.997556218331581
2.04657534246575,0.994114274379978,0.999419994526852,0.997532862825503
2.07123287671233,0.994070793638886,0.999415003916221,0.997511891767997
2.0958904109589,0.994025997680992,0.999409133136049,0.997490950204808
2.12054794520548,0.993973276770336,0.99940454630176,0.997471181790594
