t_years,p10,p90,median
0,1,1,1
0.0246575342465753,0.95893374816827,0.9893947981515,0.977644974143738
0.0493150684931507,0.957396433651415,0.98720256679328,0.973232840368481
0.073972602739726,0.956164621554618,0.985930987131031,0.969758813688567
0.0986301369863014,0.95529516737955,0.985031983948419,0.966948665766379
0.123287671232877,0.953994788499104,0.983824968518818,0.964766502832477
0.147945205479452,0.951194885503586,0.982865919647934,0.962921359303273
0.172602739726027,0.94879557081569,0.982286043257193,0.961087949131194
0.197260273972603,0.946374502267005,0.981527157175079,0.959428607213317
0.221917808219178,0.943941792711637,0.980528217832841,0.958033799123716
0.246575342465753,0.941606048211545,0.979701215516799,0.956030484869108
0.271232876712329,0.939355676303585,0.97894684525384,0.954970055344826
0.295890410958904,0.936953107631004,0.978135508470849,0.953604022662235
0.320547945205479,0.934603417567366,0.977086982791678,0.951933455230527
0.345205479452055,0.932371924136846,0.976346573767184,0.950483582911174
0.36986301369863,0.930242916454597,0.975620553976897,0.949012722952217
0.394520547945205,0.928348851050246,0.97480118656901,0.948082172845814
0.419178082191781,0.926545788850597,0.974150128057087,0.946899193216151
0.443835616438356,0.924811570301919,0.973554574628351,0.945916345191846
0.468493150684932,0.923073128170888,0.972977033688702,0.945082311235829
0.493150684931507,0.921505838988677,0.972270422789629,0.943691225413528
0.517808219178082,0.920074107027736,0.971786522331779,0.942930000640026
0.542465753424658,0.918678392121113,0.971316510054874,0.942157122519754
0.567123287671233,0.917521851139016,0.970684057953,0.941227536729581
0.591780821917808,0.916148522340196,0.970203715090886,0.94024220429789
0.616438356164384,0.914871906518009,0.96975879401332,0.939420236906508
0.641095890410959,0.913748514350567,0.969337970761159,0.93868578614788
0.665753424657534,0.912528771094716,0.968793441191247,0.93775621172984
0.69041095890411,0.911463040388574,0.968423152181608,0.93701160955243
0.715068493150685,0.910304892078322,0.968021741969496,0.936280133331259
0.73972602739726,0.909209251921144,0.967539038661624,0.935651498816304
0.764383561643836,0.908086707619891,0.96714229526991,0.934631295512685
0.789041095890411,0.906944444709843,0.966744684005288,0.933867069075299
0.813698630136986,0.905915569803655,0.966375225234807,0.93325313298275
0.838356164383562,0.904902493425029,0.965915629171313,0.932455026052637
0.863013698630137,0.90392507819182,0.965577362776216,0.931777066629247
0.887671232876712,0.902955182373454,0.965244768167731,0.931175039707859
0.912328767123288,0.90203177289226,0.964822514060163,0.93060938902687
0.936986301369863,0.90114650245294,0.964505321645395,0.929906731179767
0.961643835616438,0.900222434120577,0.964179355636841,0.92914548281392
0.986301369863014,0.899331726519446,0.963861368604571,0.928646232511507
1.01095890410959,0.898479674523885,0.963484965347778,0.928018485033383
1.03561643835616,0.897695859215884,0.963206989529122,0.927399154762068
1.06027397260274,0.896931497174869,0.962938033115198,0.92676762161461
1.08493150684932,0.896309288310603,0.962721110644796,0.926415338574043
1.10958904109589,0.895587265549864,0.962376991974863,0.925872709734295
1.13424657534247,0.894876951075808,0.962129163543693,0.925371258908137
1.15890410958904,0.894201029265647,0.961887245794716,0.92501724493088
1.18356164383562,0.893605680130447,0.96161075516227,0.924544383951058
1.20821917808219,0.892931877689838,0.961371663228899,0.924287387742233
1.23287671232877,0.892172092314878,0.961093817032402,0.923865650578281
1.25753424657534,0.891411694883063,0.960815144342047,0.923321853597567
1.28219178082192,0.890605989599362,0.960432253696657,0.922792523446014
1.30684931506849,0.889737265072171,0.960122004930978,0.922336107688407
1.33150684931507,0.888857702728308,0.959806607433736,0.9219223641881
1.35616438356164,0.887991009188241,0.959396840025157,0.921172363245595
1.38082191780822,0.887119171176407,0.959082514385727,0.920793792654292
1.40547945205479,0.886311088641204,0.958788359343118,0.920425955660168
1.43013698630137,0.88551721174182,0.958492477846809,0.919839207749042
1.45479452054795,0.884811608139713,0.958114781611018,0.919367769766287
1.47945205479452,0.88406787197625,0.957822101213648,0.918921218748617
1.5041095890411,0.883345119387114,0.957564486105688,0.918448138841592
1.52876712328767,0.882650417307931,0.957239240370492,0.917921948793197
1.55342465753425,0.881945637770009,0.956973711912466,0.917536249329273
1.57808219178082,0.881195760692471,0.956694606365763,0.91712875225606
1.6027397260274,0.880505540965865,0.956439619326188,0.916689103445596
1.62739726027397,0.879827373572712,0.956112074876204,0.916220824656096
1.65205479452055,0.879224558588269,0.955871968490142,0.915789292684668
1.67671232876712,0.878660317246461,0.955641346953654,0.915406152531547
1.7013698630137,0.878033996273169,0.955345916221,0.914908790301561
1.72602739726027,0.877389336407377,0.955105879237394,0.914442417766127
1.75068493150685,0.87675651172179,0.95487458819398,0.914031889733443
1.77534246575342,0.876074573074332,0.95463217515629,0.913639444890888
1.8,0.875396668572127,0.954310970236849,0.9130098939061
1.82465753424658,0.874822100405572,0.954099164072124,0.912634932018721
1.84931506849315,0.874201151201482,0.953876037479832,0.912263455204613
1.87397260273973,0.873597865738272,0.953596870628182,0.911792562661433
1.8986301369863,0.873019335585923,0.953376691492454,0.911368031061329
1.92328767123288,0.872460107607556,0.953163287684245,0.910987285880998
1.94794520547945,0.871888975301356,0.952958267333271,0.910662191865395
1.97260273972603,0.871294782891267,0.952672731593327,0.910106935461041
1.9972602739726,0.870720488447634,0.952457924263128,0.909725471373447
2.02191780821918,0.87022142498001,0.952279924091961,0.909431490617289
2.04657534246575,0.869704645560702,0.952095375672961,0.909141548492873
2.07123287671233,0.869244057672427,0.951877338982954,0.908724130121229
2.0958904109589,0.868822673145,0.951712498668314,0.908434275807248
2.12054794520548,0.868332052117004,0.951530507458773,0.90812339988485
2.14520547945205,0.867865623812968,0.951310230402565,0.907765146944764
