Bus,Type,Pd,Qd,Gs,Bs,Area,Vm,Va,BaseKV,Zone,Vmax,Vmin
74,1,0.162631163706911,0.0534542785172034,0,0,1,1,0,66,1,1.05,0.95
75,1,0.168858693098942,0.0555011684428981,0,0,1,1,0,66,1,1.05,0.95
76,1,0.17433131196739,0.0572999312786588,0,0,1,1,0,66,1,1.05,0.95
77,1,0.178495812403342,0.0586687363779668,0,0,1,1,0,66,1,1.05,0.95
78,1,0.181199796777515,0.0595574930624094,0,0,1,1,0,66,1,1.05,0.95
79,1,0.182511408993536,0.0599885991499739,0,0,1,1,0,66,1,1.05,0.95
80,1,0.183030102165058,0.060159085350918,0,0,1,1,0,66,1,1.05,0.95
81,1,0.18324799131983,0.0602307020527824,0,0,1,1,0,66,1,1.05,0.95
82,1,0.183380359152025,0.0602742092552619,0,0,1,1,0,66,1,1.05,0.95
83,1,0.183557164698561,0.0603323224281157,0,0,1,1,0,66,1,1.05,0.95
84,1,0.183743260542246,0.0603934891739748,0,0,1,1,0,66,1,1.05,0.95
85,1,0.183832882025928,0.0604229463311437,0,0,1,1,0,66,1,1.05,0.95
86,1,0.183593314260077,0.0603442042143952,0,0,1,1,0,66,1,1.05,0.95
87,1,0.182852218946201,0.0601006179643016,0,0,1,1,0,66,1,1.05,0.95
88,1,0.181799972442148,0.0597547612636894,0,0,1,1,0,66,1,1.05,0.95
89,1,0.180663278985651,0.059381148192078,0,0,1,1,0,66,1,1.05,0.95
90,1,0.179450924657169,0.0589826665944612,0,0,1,1,0,66,1,1.05,0.95
91,1,0.178129480753658,0.0585483289874916,0,0,1,1,0,66,1,1.05,0.95
92,1,0.176725893927224,0.0580869923074043,0,0,1,1,0,66,1,1.05,0.95
93,1,0.175280186132688,0.0576118111346071,0,0,1,1,0,66,1,1.05,0.95
94,1,0.173818156964536,0.0571312653857277,0,0,1,1,0,66,1,1.05,0.95
95,1,0.172326775702834,0.0566410720702447,0,0,1,1,0,66,1,1.05,0.95
96,1,0.170653315177394,0.0560910321948883,0,0,1,1,0,66,1,1.05,0.95
